K,topic_id,rank,theta,master_id,title,author,year,decade,L1,topic_label
20,0,11,0.6095892960957516,MASTER_00560,Preliminary notes on the natural history of Nanking,"Ping, C.",1931,1930,Natural Sciences,"FREX: styan, kiangyin, swinhoe, alligator, genus, chinkiang, pall, flying_fish, temm, bird | Prob: genus, species, birds, bird, chinkiang, winter, family, fish, styan, black | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Notes on some new species of birds found on the island of Formosa; Some notes on land - birds, including also general remarks on the birds observed at sea on the coast of China in 1916"
20,0,12,0.5798347064741447,MASTER_00049,Birds and beasts of Formosa,"Swinhoe, R.",1865,1860,Natural Sciences,"FREX: styan, kiangyin, swinhoe, alligator, genus, chinkiang, pall, flying_fish, temm, bird | Prob: genus, species, birds, bird, chinkiang, winter, family, fish, styan, black | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Notes on some new species of birds found on the island of Formosa; Some notes on land - birds, including also general remarks on the birds observed at sea on the coast of China in 1916"
20,1,1,0.999832429836253,MASTER_00167,Early European researches into the flora of China,"Bretschneider, E.",1880,1880,Natural Sciences,"FREX: lour, china_cochin, linn, danes, folio, tab, foliis, martini, osbeck, chusan | Prob: lour, linn, sin, cochin, canton, tab, plant, china_cochin, plants, folio | Representative: Early European researches into the flora of China; Contribution to the nomenclature of Chinese plants; Chinese names of plants; Bamboos in China"
20,1,2,0.99982803703101,MASTER_00167,Early European researches into the flora of China,"Bretschneider, E.",1880,1880,Natural Sciences,"FREX: lour, china_cochin, linn, danes, folio, tab, foliis, martini, osbeck, chusan | Prob: lour, linn, sin, cochin, canton, tab, plant, china_cochin, plants, folio | Representative: Early European researches into the flora of China; Contribution to the nomenclature of Chinese plants; Chinese names of plants; Bamboos in China"
20,1,3,0.957019712306236,MASTER_00317,Contribution to the nomenclature of Chinese plants,"Faber, E.",1907,1900,Natural Sciences,"FREX: lour, china_cochin, linn, danes, folio, tab, foliis, martini, osbeck, chusan | Prob: lour, linn, sin, cochin, canton, tab, plant, china_cochin, plants, folio | Representative: Early European researches into the flora of China; Contribution to the nomenclature of Chinese plants; Chinese names of plants; Bamboos in China"
20,1,4,0.9448029038980492,MASTER_00167,Early European researches into the flora of China,"Bretschneider, E.",1880,1880,Natural Sciences,"FREX: lour, china_cochin, linn, danes, folio, tab, foliis, martini, osbeck, chusan | Prob: lour, linn, sin, cochin, canton, tab, plant, china_cochin, plants, folio | Representative: Early European researches into the flora of China; Contribution to the nomenclature of Chinese plants; Chinese names of plants; Bamboos in China"
20,1,5,0.1547474771602479,MASTER_00237,Chinese names of plants,"Henry, A.",1887,1880,Natural Sciences,"FREX: lour, china_cochin, linn, danes, folio, tab, foliis, martini, osbeck, chusan | Prob: lour, linn, sin, cochin, canton, tab, plant, china_cochin, plants, folio | Representative: Early European researches into the flora of China; Contribution to the nomenclature of Chinese plants; Chinese names of plants; Bamboos in China"
20,1,6,0.0474338366616907,MASTER_00559,Bamboos in China,"Porterfield, W. M.",1931,1930,Natural Sciences,"FREX: lour, china_cochin, linn, danes, folio, tab, foliis, martini, osbeck, chusan | Prob: lour, linn, sin, cochin, canton, tab, plant, china_cochin, plants, folio | Representative: Early European researches into the flora of China; Contribution to the nomenclature of Chinese plants; Chinese names of plants; Bamboos in China"
20,1,7,0.0196877593529556,MASTER_00412,"Beginning of the study of the flora and fauna of Soochow and vicinity, A","Gee, N. G.",1919,1910,Natural Sciences,"FREX: lour, china_cochin, linn, danes, folio, tab, foliis, martini, osbeck, chusan | Prob: lour, linn, sin, cochin, canton, tab, plant, china_cochin, plants, folio | Representative: Early European researches into the flora of China; Contribution to the nomenclature of Chinese plants; Chinese names of plants; Bamboos in China"
20,1,8,0.0193318540494727,MASTER_00068,Notes on the opinions of the Chinese with regard to eclipses,"Wylie, A.",1866,1860,Natural Sciences,"FREX: lour, china_cochin, linn, danes, folio, tab, foliis, martini, osbeck, chusan | Prob: lour, linn, sin, cochin, canton, tab, plant, china_cochin, plants, folio | Representative: Early European researches into the flora of China; Contribution to the nomenclature of Chinese plants; Chinese names of plants; Bamboos in China"
20,1,9,0.0167824394591921,MASTER_00160,Alligators in China *,"Fauvel, A. A.",1878,1870,Natural Sciences,"FREX: lour, china_cochin, linn, danes, folio, tab, foliis, martini, osbeck, chusan | Prob: lour, linn, sin, cochin, canton, tab, plant, china_cochin, plants, folio | Representative: Early European researches into the flora of China; Contribution to the nomenclature of Chinese plants; Chinese names of plants; Bamboos in China"
20,1,10,0.0137938388319253,MASTER_00180,Corea,"Scherzer, F., trans. Gould, C.",1883,1880,Anthropology and Social Customs,"FREX: lour, china_cochin, linn, danes, folio, tab, foliis, martini, osbeck, chusan | Prob: lour, linn, sin, cochin, canton, tab, plant, china_cochin, plants, folio | Representative: Early European researches into the flora of China; Contribution to the nomenclature of Chinese plants; Chinese names of plants; Bamboos in China"
20,1,11,0.0076299890430769,MASTER_00178,The Hoppo - book of 1753,"Hirth, F.",1882,1880,"Politics, Government, and Law","FREX: lour, china_cochin, linn, danes, folio, tab, foliis, martini, osbeck, chusan | Prob: lour, linn, sin, cochin, canton, tab, plant, china_cochin, plants, folio | Representative: Early European researches into the flora of China; Contribution to the nomenclature of Chinese plants; Chinese names of plants; Bamboos in China"
20,1,12,0.0067681530467373,MASTER_00051,"Sorgo, or Northern Chinese sugar cane","Collins, V. D.",1865,1860,Natural Sciences,"FREX: lour, china_cochin, linn, danes, folio, tab, foliis, martini, osbeck, chusan | Prob: lour, linn, sin, cochin, canton, tab, plant, china_cochin, plants, folio | Representative: Early European researches into the flora of China; Contribution to the nomenclature of Chinese plants; Chinese names of plants; Bamboos in China"
20,2,1,0.9998427111056408,MASTER_00159,The Climate of Eastern Asia,"Fritsche, H.",1877,1870,Natural Sciences,"FREX: magnetic, temperature, victoria, magnetism, amoor, vapour, eastern_asia, continent, currents, nerchinsk | Prob: temperature, mean, asia, eastern, annual, sea, peking, observations, eastern_asia, table | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
20,2,2,0.9998032749922984,MASTER_00159,The Climate of Eastern Asia,"Fritsche, H.",1877,1870,Natural Sciences,"FREX: magnetic, temperature, victoria, magnetism, amoor, vapour, eastern_asia, continent, currents, nerchinsk | Prob: temperature, mean, asia, eastern, annual, sea, peking, observations, eastern_asia, table | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
20,2,3,0.8730055185300564,MASTER_00124,"Meteorological observations, April - December 1872",Meteorological Committee,1871,1870,Natural Sciences,"FREX: magnetic, temperature, victoria, magnetism, amoor, vapour, eastern_asia, continent, currents, nerchinsk | Prob: temperature, mean, asia, eastern, annual, sea, peking, observations, eastern_asia, table | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
20,2,4,0.7136119405932959,MASTER_00161,Periodical change of terrestrial magnetism *,"Schulze, F. W.",1878,1870,Natural Sciences,"FREX: magnetic, temperature, victoria, magnetism, amoor, vapour, eastern_asia, continent, currents, nerchinsk | Prob: temperature, mean, asia, eastern, annual, sea, peking, observations, eastern_asia, table | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
20,2,5,0.6515109598307316,MASTER_00021,"Meteorological tables, from observations made in Japan",,1859,1850,Natural Sciences,"FREX: magnetic, temperature, victoria, magnetism, amoor, vapour, eastern_asia, continent, currents, nerchinsk | Prob: temperature, mean, asia, eastern, annual, sea, peking, observations, eastern_asia, table | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
20,2,6,0.5596301321148293,,,,1859,1850,Unknown,"FREX: magnetic, temperature, victoria, magnetism, amoor, vapour, eastern_asia, continent, currents, nerchinsk | Prob: temperature, mean, asia, eastern, annual, sea, peking, observations, eastern_asia, table | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
20,2,7,0.5462149747504688,,,,1859,1850,Unknown,"FREX: magnetic, temperature, victoria, magnetism, amoor, vapour, eastern_asia, continent, currents, nerchinsk | Prob: temperature, mean, asia, eastern, annual, sea, peking, observations, eastern_asia, table | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
20,2,8,0.4807878694694398,MASTER_00004,"On Cyclones , or the Law of Storms","Nicolson, F. W.",1858,1850,Natural Sciences,"FREX: magnetic, temperature, victoria, magnetism, amoor, vapour, eastern_asia, continent, currents, nerchinsk | Prob: temperature, mean, asia, eastern, annual, sea, peking, observations, eastern_asia, table | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
20,2,9,0.4403865176539005,MASTER_00350,Notes on temperatures in high altitudes on the Tibetan border,"Edgar, J. H.",1914,1910,Natural Sciences,"FREX: magnetic, temperature, victoria, magnetism, amoor, vapour, eastern_asia, continent, currents, nerchinsk | Prob: temperature, mean, asia, eastern, annual, sea, peking, observations, eastern_asia, table | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
20,2,10,0.3150654099155847,MASTER_00034,Winds and weather at Chefoo,Editorial Committee,1860,1860,Natural Sciences,"FREX: magnetic, temperature, victoria, magnetism, amoor, vapour, eastern_asia, continent, currents, nerchinsk | Prob: temperature, mean, asia, eastern, annual, sea, peking, observations, eastern_asia, table | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
20,2,11,0.2877902128190324,MASTER_00558,Climatic changes during historic time in China,Coching Chu（竺可桢）,1931,1930,Natural Sciences,"FREX: magnetic, temperature, victoria, magnetism, amoor, vapour, eastern_asia, continent, currents, nerchinsk | Prob: temperature, mean, asia, eastern, annual, sea, peking, observations, eastern_asia, table | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
20,2,12,0.2211074463832258,MASTER_00036,Notes on some of the physical causes which modify climate,"Henderson, J.",1864,1860,Natural Sciences,"FREX: magnetic, temperature, victoria, magnetism, amoor, vapour, eastern_asia, continent, currents, nerchinsk | Prob: temperature, mean, asia, eastern, annual, sea, peking, observations, eastern_asia, table | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
20,3,1,0.9993551070025984,MASTER_00156,"Droughts in China, A. D. 620-1643","Hosie, A.",1877,1870,Natural Sciences,"FREX: tax, chehkiang, land_tax, drought, salt, likin, fuhkien, remitted, cheo, roads | Prob: summer, taels, salt, road, spring, drought, cheo, land, autumn, tax | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The"
20,3,2,0.99935495082442,MASTER_00156,"Droughts in China, A. D. 620-1643","Hosie, A.",1877,1870,Natural Sciences,"FREX: tax, chehkiang, land_tax, drought, salt, likin, fuhkien, remitted, cheo, roads | Prob: summer, taels, salt, road, spring, drought, cheo, land, autumn, tax | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The"
20,3,3,0.9852500701681224,MASTER_00273,Chinese revenue,"Parker, E. H.",1894,1890,"Economy, Trade, and Technology","FREX: tax, chehkiang, land_tax, drought, salt, likin, fuhkien, remitted, cheo, roads | Prob: summer, taels, salt, road, spring, drought, cheo, land, autumn, tax | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The"
20,3,4,0.9585732496715068,MASTER_00231,The Salt revenue of China,"Parker, E. H.",1887,1880,"Economy, Trade, and Technology","FREX: tax, chehkiang, land_tax, drought, salt, likin, fuhkien, remitted, cheo, roads | Prob: summer, taels, salt, road, spring, drought, cheo, land, autumn, tax | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The"
20,3,5,0.8505125193913209,MASTER_00261,"Salt administration of Ssuch'uan, The","Rosthorn, A. von",1892,1890,"Politics, Government, and Law","FREX: tax, chehkiang, land_tax, drought, salt, likin, fuhkien, remitted, cheo, roads | Prob: summer, taels, salt, road, spring, drought, cheo, land, autumn, tax | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The"
20,3,6,0.8209473381542777,MASTER_00266,Inland communications in China *,"Kingsmill, T. W.",1893,1890,"Economy, Trade, and Technology","FREX: tax, chehkiang, land_tax, drought, salt, likin, fuhkien, remitted, cheo, roads | Prob: summer, taels, salt, road, spring, drought, cheo, land, autumn, tax | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The"
20,3,7,0.7516052971001053,MASTER_00192,Trade routes to Western China,"Hosie, A.",1884,1880,"Economy, Trade, and Technology","FREX: tax, chehkiang, land_tax, drought, salt, likin, fuhkien, remitted, cheo, roads | Prob: summer, taels, salt, road, spring, drought, cheo, land, autumn, tax | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The"
20,3,8,0.662948107671219,INDEX_00271,THE FINANCIAL CAPACITY OF CHINA.,E. H. PARKER,1895,1890,"Economy, Trade, and Technology","FREX: tax, chehkiang, land_tax, drought, salt, likin, fuhkien, remitted, cheo, roads | Prob: summer, taels, salt, road, spring, drought, cheo, land, autumn, tax | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The"
20,3,9,0.5473831362882758,MASTER_00228,"The Military organization of China prior to 1842, as described by Wei Yuan","Parker, E. H.",1887,1880,Military | Natural Sciences,"FREX: tax, chehkiang, land_tax, drought, salt, likin, fuhkien, remitted, cheo, roads | Prob: summer, taels, salt, road, spring, drought, cheo, land, autumn, tax | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The"
20,3,10,0.4126131684431228,MASTER_00496,Flood and famine in North China,"Turner, F. B.",1926,1920,Natural Sciences,"FREX: tax, chehkiang, land_tax, drought, salt, likin, fuhkien, remitted, cheo, roads | Prob: summer, taels, salt, road, spring, drought, cheo, land, autumn, tax | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The"
20,3,11,0.3512253008124155,MASTER_00230,Notes on the early history of the salt monopoly in China,"Hirth, F.",1887,1880,"Politics, Government, and Law","FREX: tax, chehkiang, land_tax, drought, salt, likin, fuhkien, remitted, cheo, roads | Prob: summer, taels, salt, road, spring, drought, cheo, land, autumn, tax | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The"
20,3,12,0.3258825842781028,MASTER_00282,"Grand Canal of China, The","Carles, W. R.",1896,1890,"Economy, Trade, and Technology","FREX: tax, chehkiang, land_tax, drought, salt, likin, fuhkien, remitted, cheo, roads | Prob: summer, taels, salt, road, spring, drought, cheo, land, autumn, tax | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The"
20,4,1,0.9997313105142768,MASTER_00326,"Music of China, The *","Kingsmill, T. W.",1910,1910,Arts and Archaeology,"FREX: wares, musical, musical_instruments, chinese_musical_instruments, chinese_musical, instrument, instruments, holes, games, bell | Prob: inches, instruments, instrument, wood, musical, bamboo, colour, foot, wares, porcelain | Representative: Music of China, The *; Chinese ideas of antiques; Short notes on Chinese instruments of music *; Chinese Embroidery and Other Art Textile Work"
20,4,2,0.999250885193766,MASTER_00419,Chinese ideas of antiques,Hutson J.,1920,1920,Arts and Archaeology,"FREX: wares, musical, musical_instruments, chinese_musical_instruments, chinese_musical, instrument, instruments, holes, games, bell | Prob: inches, instruments, instrument, wood, musical, bamboo, colour, foot, wares, porcelain | Representative: Music of China, The *; Chinese ideas of antiques; Short notes on Chinese instruments of music *; Chinese Embroidery and Other Art Textile Work"
20,4,3,0.9992255379442354,MASTER_00419,Chinese ideas of antiques,Hutson J.,1920,1920,Arts and Archaeology,"FREX: wares, musical, musical_instruments, chinese_musical_instruments, chinese_musical, instrument, instruments, holes, games, bell | Prob: inches, instruments, instrument, wood, musical, bamboo, colour, foot, wares, porcelain | Representative: Music of China, The *; Chinese ideas of antiques; Short notes on Chinese instruments of music *; Chinese Embroidery and Other Art Textile Work"
20,4,4,0.9114459132298296,MASTER_00132,Short notes on Chinese instruments of music *,"Dennys, N. B.",1873,1870,Arts and Archaeology,"FREX: wares, musical, musical_instruments, chinese_musical_instruments, chinese_musical, instrument, instruments, holes, games, bell | Prob: inches, instruments, instrument, wood, musical, bamboo, colour, foot, wares, porcelain | Representative: Music of China, The *; Chinese ideas of antiques; Short notes on Chinese instruments of music *; Chinese Embroidery and Other Art Textile Work"
20,4,5,0.8372155501910729,INDEX_00343,Chinese Embroidery and Other Art Textile Work,"Stanley, A.",1913,1910,Arts and Archaeology,"FREX: wares, musical, musical_instruments, chinese_musical_instruments, chinese_musical, instrument, instruments, holes, games, bell | Prob: inches, instruments, instrument, wood, musical, bamboo, colour, foot, wares, porcelain | Representative: Music of China, The *; Chinese ideas of antiques; Short notes on Chinese instruments of music *; Chinese Embroidery and Other Art Textile Work"
20,4,6,0.7741961021610118,MASTER_00072,"Short sketch of the Chinese game of chess, Seang - kh'e, A *","Hollingworth, H. G.",1866,1860,Anthropology and Social Customs,"FREX: wares, musical, musical_instruments, chinese_musical_instruments, chinese_musical, instrument, instruments, holes, games, bell | Prob: inches, instruments, instrument, wood, musical, bamboo, colour, foot, wares, porcelain | Representative: Music of China, The *; Chinese ideas of antiques; Short notes on Chinese instruments of music *; Chinese Embroidery and Other Art Textile Work"
20,4,7,0.7569107579118538,MASTER_00352,Chinese wood carving *,"Stanley, A.",1914,1910,Arts and Archaeology,"FREX: wares, musical, musical_instruments, chinese_musical_instruments, chinese_musical, instrument, instruments, holes, games, bell | Prob: inches, instruments, instrument, wood, musical, bamboo, colour, foot, wares, porcelain | Representative: Music of China, The *; Chinese ideas of antiques; Short notes on Chinese instruments of music *; Chinese Embroidery and Other Art Textile Work"
20,4,8,0.5590448723777725,MASTER_00314,Chinese children's games,"Headland, I. T.",1906,1900,Anthropology and Social Customs,"FREX: wares, musical, musical_instruments, chinese_musical_instruments, chinese_musical, instrument, instruments, holes, games, bell | Prob: inches, instruments, instrument, wood, musical, bamboo, colour, foot, wares, porcelain | Representative: Music of China, The *; Chinese ideas of antiques; Short notes on Chinese instruments of music *; Chinese Embroidery and Other Art Textile Work"
20,4,9,0.5409489146689498,MASTER_00333,Chinese art metal work *,"Stanley, A.",1912,1910,Arts and Archaeology,"FREX: wares, musical, musical_instruments, chinese_musical_instruments, chinese_musical, instrument, instruments, holes, games, bell | Prob: inches, instruments, instrument, wood, musical, bamboo, colour, foot, wares, porcelain | Representative: Music of China, The *; Chinese ideas of antiques; Short notes on Chinese instruments of music *; Chinese Embroidery and Other Art Textile Work"
20,4,10,0.4821025399695204,MASTER_00331,Notes on Chinese archery,"Reymond, C. du Bois",1912,1910,Anthropology and Social Customs,"FREX: wares, musical, musical_instruments, chinese_musical_instruments, chinese_musical, instrument, instruments, holes, games, bell | Prob: inches, instruments, instrument, wood, musical, bamboo, colour, foot, wares, porcelain | Representative: Music of China, The *; Chinese ideas of antiques; Short notes on Chinese instruments of music *; Chinese Embroidery and Other Art Textile Work"
20,4,11,0.4524521522060748,MASTER_00523,Chinese foot measures of the past nineteen centuries,Wang Kuo Wei（王国维）,1928,1920,Anthropology and Social Customs,"FREX: wares, musical, musical_instruments, chinese_musical_instruments, chinese_musical, instrument, instruments, holes, games, bell | Prob: inches, instruments, instrument, wood, musical, bamboo, colour, foot, wares, porcelain | Representative: Music of China, The *; Chinese ideas of antiques; Short notes on Chinese instruments of music *; Chinese Embroidery and Other Art Textile Work"
20,4,12,0.383147090996106,MASTER_00562,Chinese pottery and porcelain : an appreciation,"Abraham, R. D.",1931,1930,Arts and Archaeology,"FREX: wares, musical, musical_instruments, chinese_musical_instruments, chinese_musical, instrument, instruments, holes, games, bell | Prob: inches, instruments, instrument, wood, musical, bamboo, colour, foot, wares, porcelain | Representative: Music of China, The *; Chinese ideas of antiques; Short notes on Chinese instruments of music *; Chinese Embroidery and Other Art Textile Work"
20,5,1,0.9773239001813,MASTER_00489,Shantung foraminifera,"Jacot, A. P.",1925,1920,Natural Sciences,"FREX: leaflets, ventral, ovate, slender, glabrous, tibetan, hairs, apex, pagodas, bristle | Prob: leaves, species, flowers, tibetan, tai, slender, base, tibet, lower, white | Representative: Shantung foraminifera; Then and now; Oribatoidea Sinensis, Part III; The Family names"
20,5,2,0.969161139416418,MASTER_00454,Then and now,"Hudson, E.",1923,1920,Literature and Language,"FREX: leaflets, ventral, ovate, slender, glabrous, tibetan, hairs, apex, pagodas, bristle | Prob: leaves, species, flowers, tibetan, tai, slender, base, tibet, lower, white | Representative: Shantung foraminifera; Then and now; Oribatoidea Sinensis, Part III; The Family names"
20,5,3,0.9669845524921972,MASTER_00478,"Oribatoidea Sinensis, Part III","Jacot, A. P.",1924,1920,Natural Sciences,"FREX: leaflets, ventral, ovate, slender, glabrous, tibetan, hairs, apex, pagodas, bristle | Prob: leaves, species, flowers, tibetan, tai, slender, base, tibet, lower, white | Representative: Shantung foraminifera; Then and now; Oribatoidea Sinensis, Part III; The Family names"
20,5,4,0.9658830798507486,MASTER_00223,The Family names,"Giles, H. A.",1886,1880,Literature and Language,"FREX: leaflets, ventral, ovate, slender, glabrous, tibetan, hairs, apex, pagodas, bristle | Prob: leaves, species, flowers, tibetan, tai, slender, base, tibet, lower, white | Representative: Shantung foraminifera; Then and now; Oribatoidea Sinensis, Part III; The Family names"
20,5,5,0.9603636267661492,MASTER_00514,"Genus gueldenstaedtia (leguminoseae), The","Jacot, A. P.",1927,1920,Natural Sciences,"FREX: leaflets, ventral, ovate, slender, glabrous, tibetan, hairs, apex, pagodas, bristle | Prob: leaves, species, flowers, tibetan, tai, slender, base, tibet, lower, white | Representative: Shantung foraminifera; Then and now; Oribatoidea Sinensis, Part III; The Family names"
